Abby,Dog,patrick.hughes@animalshelter.com,2018-08-30,58
Ace,Dog,justin.ruiz@hotmail.com,2019-10-26,68
Archie,Cat,patrick.hughes@animalshelter.com,2018-08-30,82
Bailey,Dog,wayne.turner@icloud.com,2019-07-26,50
Baloo,Rabbit,jesse.cox@yahoo.com,2017-12-16,58
Beau,Dog,shirley.williams@outlook.com,2018-04-15,90
Benji,Dog,sharon.davis@animalshelter.com,2018-11-18,97
Brody,Dog,george.scott@hotmail.com,2019-02-21,83
Brutus,Dog,virginia.baker@gmail.com,2019-01-28,66
Buddy,Cat,karen.smith@icloud.com,2019-09-27,73
Callie,Dog,peter.smith@hotmail.com,2018-09-06,57
Chico,Dog,lori.smith@icloud.com,2019-12-29,86
Chubby,Rabbit,adam.brown@gmail.com,2018-05-27,65
Cleo,Cat,melissa.lopez@gmail.com,2019-12-15,56
Cooper,Dog,lisa.perez@icloud.com,2018-01-10,61
Cosmo,Cat,diane.thompson@hotmail.com,2019-06-16,100
Dolly,Dog,laura.young@gmail.com,2019-12-30,93
Emma,Dog,melissa.moore@icloud.com,2019-12-28,76
Fiona,Cat,jerry.mitchell@icloud.com,2018-02-23,96
George,Cat,kevin.diaz@hotmail.com,2018-09-13,97
Ginger,Dog,julie.adams@gmail.com,2017-03-07,79
Gizmo,Dog,lori.smith@icloud.com,2019-12-26,54
Gracie,Cat,gerald.reyes@animalshelter.com,2017-09-09,82
Gus,Dog,frances.cook@yahoo.com,2018-12-29,96
Hobbes,Cat,timothy.anderson@gmail.com,2017-11-08,73
Hudini,Rabbit,kathy.thomas@gmail.com,2019-12-24,57
Humphrey,Rabbit,kelly.allen@hotmail.com,2019-01-17,85
Jake,Dog,shirley.williams@outlook.com,2019-11-12,84
Jax,Dog,wayne.turner@icloud.com,2018-04-01,85
Kiki,Cat,james.ramos@hotmail.com,2019-12-01,87
King,Dog,charles.phillips@gmail.com,2019-07-18,57
Lexi,Dog,virginia.baker@gmail.com,2018-07-28,54
Lily,Dog,mildred.gray@yahoo.com,2019-09-01,99
Lucy,Dog,richard.castillo@icloud.com,2018-07-07,78
Luke,Dog,ryan.garcia@hotmail.com,2018-05-04,65
Luna,Rabbit,ryan.wright@hotmail.com,2019-04-14,55
Mac,Dog,randy.bailey@icloud.com,2018-06-12,51
Maddie,Dog,theresa.carter@icloud.com,2017-09-18,87
Max,Dog,roy.rogers@hotmail.com,2017-09-23,62
Millie,Dog,richard.castillo@icloud.com,2018-05-21,98
Miss Kitty,Cat,anna.thompson@hotmail.com,2019-11-11,83
Misty,Cat,frances.hill@animalshelter.com,2019-12-13,86
Mocha,Dog,roger.adams@hotmail.com,2019-07-22,93
Nala,Dog,wayne.turner@icloud.com,2019-07-26,77
Nova,Cat,walter.edwards@icloud.com,2018-09-03,98
Oscar,Cat,bruce.harris@hotmail.com,2018-11-19,79
Otis,Dog,doris.young@icloud.com,2019-08-02,51
Peanut,Rabbit,richard.castillo@icloud.com,2019-03-21,83
Pearl,Cat,doris.young@icloud.com,2019-10-13,94
Penelope,Cat,emily.perez@gmail.com,2018-06-02,54
Penelope,Dog,virginia.baker@gmail.com,2018-10-22,54
Penny,Cat,roy.rogers@hotmail.com,2017-04-08,66
Piper,Dog,margaret.campbell@hotmail.com,2016-06-16,61
Poppy,Dog,phyllis.moore@gmail.com,2019-03-15,93
Prince,Dog,virginia.baker@gmail.com,2018-03-13,95
Pumpkin,Cat,scott.gutierrez@gmail.com,2019-09-12,64
Ranger,Dog,charles.phillips@gmail.com,2019-01-06,61
Remi / Remy,Dog,jesse.cox@yahoo.com,2019-04-29,61
Riley,Dog,sara.nelson@icloud.com,2019-09-30,54
Rocky,Cat,patricia.wright@icloud.com,2019-11-21,60
Roxy,Dog,julie.adams@gmail.com,2019-08-07,86
Rusty,Dog,jacqueline.phillips@gmail.com,2016-04-23,50
Sadie,Cat,jonathan.mez@hotmail.com,2018-12-07,85
Salem,Cat,bruce.cook@icloud.com,2018-02-09,55
Sam,Cat,frances.cook@yahoo.com,2018-12-29,51
Shadow,Dog,wayne.turner@icloud.com,2018-04-01,73
Skye,Dog,jerry.mitchell@icloud.com,2016-09-25,67
Thomas,Cat,george.scott@hotmail.com,2019-05-23,96
Toby,Rabbit,phyllis.moore@gmail.com,2019-11-26,96
Whitney,Rabbit,margaret.campbell@hotmail.com,2019-07-17,75
