adam.brown@gmail.com,Adam,Brown,1984-12-22,41 Hill,California,Norwalk,90650
alan.cook@hotmail.com,Alan,Cook,NULL,115 Sunset,California,Inglewood,90301
albert.wood@gmail.com,Albert,Wood,1962-01-30,780 Sixth,California,Bell Gardens,90201
anna.thompson@hotmail.com,Anna,Thompson,1997-05-11,716 Meadow,California,Los Angeles,90032
anne.parker@icloud.com,Anne,Parker,1973-10-21,130 Eleventh,California,Carson,90248
ashley.adams@icloud.com,Ashley,Adams,1984-02-23,101 North,California,Carson,90749
ashley.flores@animalshelter.com,Ashley,Flores,1976-04-08,282 North,California,Carson,90749
benjamin.edwards@icloud.com,Benjamin,Edwards,1990-01-08,578 Dogwood,California,Manhattan Beach,90266
bonnie.davis@icloud.com,Bonnie,Davis,1951-01-29,193 Lake,California,West Hollywood,90048
brenda.martin@gmail.com,Brenda,Martin,1952-04-16,129 South,California,Santa Monica,90403
bruce.cook@icloud.com,Bruce,Cook,1953-01-12,667 Church,California,South Whittier,90605
bruce.harris@hotmail.com,Bruce,Harris,1957-11-26,370 Church,California,South Whittier,90605
carol.mitchell@gmail.com,Carol,Mitchell,1994-02-11,506 Cherry,California,Torrance,90503
carolyn.nelson@icloud.com,Carolyn,Nelson,1985-11-27,39 Third,California,Whittier,90605
catherine.howard@icloud.com,Catherine,Howard,1952-03-07,806 Second,California,Los Angeles,90068
catherine.nguyen@hotmail.com,Catherine,Nguyen,1946-03-29,882 Second,California,Los Angeles,90068
charles.phillips@gmail.com,Charles,Phillips,1980-05-11,812 Hill,California,Long Beach,90813
cynthia.campbell@hotmail.com,Cynthia,Campbell,1969-01-02,902 Eighth,California,Inglewood,90307
denise.ortiz@yahoo.com,Denise,Ortiz,1982-04-01,996 Cherry,California,Santa Monica,90407
dennis.hill@animalshelter.com,Dennis,Hill,NULL,941 Thirteenth,California,Gardena,90247
diane.thompson@hotmail.com,Diane,Thompson,1998-06-25,762 Church,California,Willowbrook,90059
donna.brooks@hotmail.com,Donna,Brooks,1966-04-05,972 Cherry,California,Los Angeles,90068
doris.young@icloud.com,Doris,Young,1954-02-15,511 Ridge,California,Torrance,90501
elizabeth.clark@icloud.com,Elizabeth,Clark,1949-02-23,443 Twelfth,California,Rancho Palos Verdes,90275
emily.perez@gmail.com,Emily,Perez,1971-08-25,759 Dogwood,California,Lynwood,90262
eugene.howard@icloud.com,Eugene,Howard,1958-01-20,647 Eleventh,California,Inglewood,90309
evelyn.rodriguez@outlook.com,Evelyn,Rodriguez,1965-04-10,793 Sixth,California,West Rancho Dominguez,90059
frances.cook@yahoo.com,Frances,Cook,1973-08-13,351 Forest,California,Compton,90220
frances.hill@animalshelter.com,Frances,Hill,1953-01-29,406 Forest,California,Compton,90220
frank.smith@icloud.com,Frank,Smith,1997-09-20,390 Jefferson,California,Walnut Park,90255
fred.james@gmail.com,Fred,James,1972-08-08,293 Second,California,Los Angeles,90069
fred.patel@gmail.com,Fred,Patel,1953-03-10,899 Second,California,Los Angeles,90069
george.nzalez@icloud.com,George,nzalez,1952-12-11,209 Cedar,California,Los Angeles,90004
george.scott@hotmail.com,George,Scott,1982-05-03,424 Cedar,California,Los Angeles,90004
gerald.reyes@animalshelter.com,Gerald,Reyes,1956-02-10,761 Eighth,California,Long Beach,90853
gerald.thompson@icloud.com,Gerald,Thompson,1994-04-07,631 Eighth,California,Long Beach,90853
gloria.wright@hotmail.com,Gloria,Wright,1947-12-21,439 Fourteenth,California,Whittier,90603
grery.evans@icloud.com,Grery,Evans,1967-12-22,481 Seventh,California,East Rancho Dominguez,90221
grery.james@icloud.com,Grery,James,1994-09-24,337 Seventh,California,East Rancho Dominguez,90221
harold.clark@icloud.com,Harold,Clark,1987-09-26,771 Ninth,California,Whittier,90601
harry.wilson@yahoo.com,Harry,Wilson,1976-02-06,886 Elm,California,Compton,90223
heather.turner@yahoo.com,Heather,Turner,1974-09-11,909 Twelfth,California,Paramount,90723
howard.bailey@gmail.com,Howard,Bailey,1995-11-13,1000 Adams,California,View Park-Windsor Hills,90056
irene.mendoza@gmail.com,Irene,Mendoza,1985-11-23,84 Elm,California,Florence-Graham,90052
jacqueline.phillips@gmail.com,Jacqueline,Phillips,NULL,519 Johnson,California,Long Beach,90853
james.ramos@hotmail.com,James,Ramos,1962-08-07,968 Cherry,California,Carson,90745
janet.evans@gmail.com,Janet,Evans,1980-12-07,519 Oak,California,Lakewood,90711
jeffrey.mez@gmail.com,Jeffrey,mez,1961-04-17,51 Cedar,California,Whittier,90603
jerry.cox@icloud.com,Jerry,Cox,1958-04-04,353 Johnson,California,South Whittier,90605
jerry.mitchell@icloud.com,Jerry,Mitchell,1981-09-22,732 Johnson,California,South Whittier,90605
jesse.cox@yahoo.com,Jesse,Cox,1990-07-26,544 North,California,South Gate,90280
jesse.myers@gmail.com,Jesse,Myers,1975-02-14,684 North,California,South Gate,90280
jessica.ward@icloud.com,Jessica,Ward,1953-11-28,515 West,California,Downey,90242
jimmy.jones@yahoo.com,Jimmy,Jones,NULL,226 Fourth,California,Inglewood,90303
joan.cooper@icloud.com,Joan,Cooper,1986-04-03,173 West,California,Compton,90221
jonathan.mez@hotmail.com,Jonathan,mez,1989-07-09,319 Johnson,California,Los Angeles,90069
joyce.nzalez@hotmail.com,Joyce,nzalez,1970-07-02,204 Cedar,California,View Park-Windsor Hills,90043
julia.flores@yahoo.com,Julia,Flores,1988-01-12,442 Lake view,California,Bell Gardens,90201
julie.adams@gmail.com,Julie,Adams,1957-01-31,133 Hill,California,Gardena,90247
julie.price@icloud.com,Julie,Price,1962-11-29,2 Hill,California,Gardena,90247
justin.ruiz@hotmail.com,Justin,Ruiz,1991-07-13,157 Church,California,Gardena,90247
justin.sanchez@yahoo.com,Justin,Sanchez,1992-02-03,415 Church,California,Gardena,90247
karen.smith@icloud.com,Karen,Smith,1948-03-01,110 North,California,West Rancho Dominguez,90220
katherine.murphy@gmail.com,Katherine,Murphy,1957-05-15,191 Lincoln,California,Commerce,90022
katherine.price@gmail.com,Katherine,Price,1997-09-23,949 Lincoln,California,Commerce,90022
kathryn.lopez@icloud.com,Kathryn,Lopez,1990-08-30,622 Madison,California,Los Angeles,90034
kathy.thomas@gmail.com,Kathy,Thomas,1952-04-08,427 Main,California,Lakewood,90712
kelly.allen@hotmail.com,Kelly,Allen,NULL,651 Hickory,California,Long Beach,90840
kevin.diaz@hotmail.com,Kevin,Diaz,1974-01-18,262 Jackson,California,Torrance,90509
kimberly.morgan@gmail.com,Kimberly,Morgan,1956-01-29,2 Washington,California,Torrance,90503
laura.young@gmail.com,Laura,Young,1987-05-19,29 First,California,Torrance,90503
linda.kelly@gmail.com,Linda,Kelly,1997-04-26,51 Seventh,California,Compton,90221
lisa.perez@icloud.com,Lisa,Perez,1949-08-08,502 River,California,Hawthorne,90310
lori.smith@icloud.com,Lori,Smith,1977-02-11,324 Sixth,California,Signal Hill,90755
margaret.campbell@hotmail.com,Margaret,Campbell,1960-11-03,424 Eleventh,California,Los Angeles,90247
margaret.hall@gmail.com,Margaret,Hall,1994-09-15,344 Eleventh,California,Los Angeles,90247
matthew.lopez@gmail.com,Matthew,Lopez,1988-02-15,38 Dogwood,California,Torrance,90510
matthew.ward@icloud.com,Matthew,Ward,1949-12-04,240 Dogwood,California,Torrance,90510
melissa.lopez@gmail.com,Melissa,Lopez,NULL,43 Park,California,Bell Gardens,90202
melissa.moore@icloud.com,Melissa,Moore,1960-06-27,156 Park,California,Bell Gardens,90202
mildred.gray@yahoo.com,Mildred,Gray,1949-03-23,193 Sixth,California,Long Beach,90847
