OrderID,CustomerID,OrderDate,TotalAmount,Status,PaymentMethod,ShippingAddress
1,637,2023-01-23 14:09:00,2184.65,Delivered,PayPal,"860 Main St, Mumbai"
2,284,2023-09-12 07:44:00,3882.69,Delivered,PayPal,"539 Main St, Tokyo"
3,438,2023-06-16 13:50:00,2906.81,Pending,Apple Pay,"77 Main St, London"
4,1914,2023-05-05 09:12:00,665.8,Delivered,Apple Pay,"697 Main St, New York"
5,313,2023-04-12 17:47:00,4563.87,Shipped,Debit Card,"180 Main St, New York"
6,2437,2023-04-19 02:07:00,4346.24,Pending,PayPal,"591 Main St, Los Angeles"
7,238,2023-04-10 04:43:00,4260.01,Pending,Debit Card,"907 Main St, Tokyo"
8,1128,2023-10-25 16:54:00,1126.83,Pending,PayPal,"988 Main St, Los Angeles"
9,1021,2023-03-28 14:23:00,1810.58,Shipped,Apple Pay,"662 Main St, Mumbai"
10,814,2023-12-31 07:46:00,2501.53,Shipped,Apple Pay,"541 Main St, Los Angeles"
11,2418,2023-03-02 00:49:00,3665.66,Pending,PayPal,"770 Main St, Los Angeles"
12,169,2023-10-03 06:25:00,3371.86,Pending,Credit Card,"668 Main St, Los Angeles"
13,54,2023-07-08 07:34:00,158.23,Delivered,Debit Card,"345 Main St, Los Angeles"
14,2236,2023-07-07 17:34:00,2887.04,Delivered,Debit Card,"237 Main St, New York"
15,1867,2023-09-01 12:23:00,2568.31,Delivered,Credit Card,"802 Main St, Los Angeles"
16,240,2023-04-18 06:58:00,3552.18,Cancelled,Apple Pay,"557 Main St, Los Angeles"
17,2482,2023-06-24 05:18:00,2735.74,Cancelled,Apple Pay,"401 Main St, Los Angeles"
18,684,2024-02-28 14:13:00,1948.46,Delivered,Credit Card,"581 Main St, Mumbai"
19,976,2023-11-10 15:55:00,1713.17,Cancelled,Debit Card,"408 Main St, Tokyo"
20,1965,2023-06-28 03:28:00,4087.07,Pending,PayPal,"722 Main St, London"
21,713,2023-07-27 04:46:00,3049.26,Cancelled,PayPal,"865 Main St, Mumbai"
22,1431,2023-12-05 17:36:00,1590.15,Pending,Debit Card,"392 Main St, London"
23,1320,2023-03-23 21:51:00,2306.61,Pending,PayPal,"335 Main St, London"
24,1926,2023-12-09 21:59:00,459.66,Shipped,Debit Card,"215 Main St, London"
25,1355,2023-01-05 13:26:00,2544.46,Cancelled,Apple Pay,"295 Main St, Mumbai"
26,303,2024-02-18 22:22:00,4952.91,Cancelled,PayPal,"744 Main St, Mumbai"
27,321,2024-02-02 15:22:00,3143.72,Shipped,PayPal,"170 Main St, Los Angeles"
28,56,2024-01-06 23:50:00,1448.86,Pending,PayPal,"41 Main St, Los Angeles"
29,41,2023-05-21 08:01:00,531.29,Cancelled,Apple Pay,"5 Main St, New York"
30,1190,2023-09-12 07:32:00,4830.31,Shipped,Debit Card,"602 Main St, London"
31,360,2023-09-14 09:39:00,4689.49,Shipped,Credit Card,"680 Main St, London"
32,1052,2023-05-20 17:01:00,1791.04,Delivered,Debit Card,"746 Main St, New York"
33,1051,2023-11-17 00:45:00,2549.14,Shipped,Apple Pay,"868 Main St, Los Angeles"
34,621,2023-08-28 12:32:00,716.48,Cancelled,PayPal,"775 Main St, New York"
35,1698,2023-03-02 09:43:00,1975.42,Pending,Debit Card,"700 Main St, Los Angeles"
36,1630,2023-05-29 17:37:00,3537.47,Delivered,Credit Card,"547 Main St, Mumbai"
37,1572,2023-05-07 22:10:00,4194.28,Shipped,Credit Card,"114 Main St, Tokyo"
38,1587,2023-11-06 14:16:00,2582.24,Pending,PayPal,"648 Main St, Los Angeles"
39,1883,2023-11-14 17:00:00,206.68,Shipped,Apple Pay,"310 Main St, New York"
