CustId,CustomerID,Name,Email,Phone,City,State,Country,CustId
1,C001,Melissa Lewis,johnsonadam@hotmail.com,001-706-192-0227x6285,Michaelhaven,IA,Solomon Islands,1
2,C002,Charles Griffith,schneidertina@gmail.com,477-393-3549x5699,Fryeburgh,GA,Croatia,2
3,C003,Chad Jones,roberthill@olson.com,144.662.5301x134,South Martha,NE,Liechtenstein,3
4,C004,Cynthia Blake,cassandrasmith@hotmail.com,729-286-0537x72540,Sherylfort,WA,Italy,4
5,C005,Jennifer Alvarez,ucooper@yahoo.com,+1-233-514-0073x43892,South Steven,NE,Bosnia and Herzegovina,5
6,C006,Courtney Richardson,mcooper@white.com,+1-365-353-6120x7851,South Brendaview,MT,Saudi Arabia,6
7,C007,Bob Peterson,jeremyvillarreal@bennett-hess.com,(016)439-9197,New Gregorymouth,CT,Kazakhstan,7
8,C008,Mathew Chambers,raymondelizabeth@french.com,+1-869-413-7072x87485,Sharonburgh,ID,Latvia,8
9,C009,Jesse Johnson,bryankatherine@gmail.com,(814)097-5617x93427,South Amanda,NE,Albania,9
10,C010,Samantha Reyes,kiddjuan@hotmail.com,(373)818-1885,South Robertside,WI,Uganda,10
11,C011,Sandy Wood,michaelnorton@porter-phillips.com,658.645.3196x12591,South Lindaburgh,KS,Thailand,11
12,C012,Kevin Kane,daviselizabeth@yahoo.com,156-780-0380x314,Dominiquehaven,KS,Tuvalu,12
13,C013,Kevin Brown,lance90@ortiz-middleton.com,001-190-535-5363x2354,Richardshire,ND,Korea,13
14,C014,Courtney Peters,melvin13@torres.biz,090-699-7842,Rebeccaville,KS,Palestinian Territory,14
15,C015,Aaron Roach,zmcgee@jackson.com,345.744.2186x24540,Port Davidmouth,MI,Norway,15
16,C016,Adam Grant,renee18@hotmail.com,868-335-7925,Lake Michaelville,PA,Mali,16
17,C017,Jill Nguyen,rsmith@yahoo.com,6216765801,New Melanie,MD,Kyrgyz Republic,17
18,C018,Jeffrey Buchanan,johnsonsally@hotmail.com,6670841392,Thomaston,NC,India,18
19,C019,Raymond Wilson,dbrown@hotmail.com,335-022-0855x65602,Taylortown,TN,Colombia,19
20,C020,Steven Fleming,lowejohn@lane-peters.org,+1-198-270-4340x70320,Jeremybury,ME,Andorra,20
21,C021,Patty Francis,holsen@kaufman-martin.org,+1-546-993-7240x3768,South Tyler,UT,Peru,21
22,C022,Brian Curtis,vanessaoconnor@green.info,6113275054,East Coreyfort,MN,Andorra,22
23,C023,Mr. Dylan Hernandez,jenniferstout@yahoo.com,494.318.2515x0804,North Cindy,SC,Reunion,23
24,C024,Angela Rodriguez,uchavez@salazar.info,(987)221-4976,Natashahaven,MO,Djibouti,24
25,C025,Keith Barnes,singhdavid@smith.org,001-547-676-3134x159,Hernandezmouth,CO,Macedonia,25
26,C026,Dawn Powell,markjones@yahoo.com,0859878600,Kristopherhaven,WV,Austria,26
27,C027,William Foster,michael97@marquez.org,194.753.3115,South Mary,ME,Kazakhstan,27
28,C028,Kim Curtis,qcollins@brown-campbell.com,570-429-9807,Bernardland,NY,Comoros,28
29,C029,Dr. Joshua Fitzpatrick,joshualynn@hotmail.com,(747)025-4447x967,Trevinomouth,RI,Libyan Arab Jamahiriya,29
30,C030,Matthew Thomas,adamsjordan@jones.biz,+1-947-216-6418x0483,Humphreyville,AZ,Kuwait,30
31,C031,Christine Burns,pwilson@gmail.com,(362)687-9775x90385,Molinatown,SC,Romania,31
32,C032,Ms. Susan Mitchell,christina24@yahoo.com,001-152-544-6622x21590,New Garrett,DC,Benin,32
33,C033,Jeremy Williams,foleycarl@cervantes-king.com,(600)828-8512x5050,Lewistown,VA,Tunisia,33
34,C034,Kathleen Watts,kim29@yahoo.com,2442745911,East Rachel,MT,Saint Martin,34
35,C035,Derrick Collier,linda82@johnson-jimenez.info,(690)952-4660x3196,Martinside,VA,Holy See (Vatican City State),35
36,C036,Jesse Gonzalez,david62@gmail.com,001-893-069-2535x0279,New Zachary,VT,Botswana,36
37,C037,Kim Murphy,tamarablack@hotmail.com,572.200.3723x3143,Lovestad,MI,Saint Lucia,37
38,C038,Lisa Cooke,alexandria14@yahoo.com,308.054.7225,North Charles,IN,Rwanda,38
39,C039,Victor Martinez,williamsdennis@salinas.net,293-148-8245,Lopeztown,AZ,Austria,39
40,C040,Jack Contreras,asanchez@nunez.com,(781)562-0988,West Amandahaven,SC,Nicaragua,40
41,C041,Anthony White,caldwellbrittney@gmail.com,+1-593-518-1333x1106,Staceyport,PA,Vanuatu,41
42,C042,Brendan Sims,youngraymond@perry.net,001-444-249-7885x89105,East Saramouth,UT,Latvia,42
43,C043,Abigail Mitchell,darrylbraun@craig.com,625.641.9879x07346,East Stephanieport,MN,Angola,43
44,C044,Christopher Jackson,bmeyer@hotmail.com,(443)263-3410x8128,West John,OR,Samoa,44
45,C045,Angela Hughes,angela75@ward.com,001-918-461-7858x5605,North Robert,ME,Tunisia,45
46,C046,Adam Atkinson,lori40@allen.net,406.719.7028x79826,New Dennismouth,ND,Ethiopia,46
47,C047,Brian Shelton,jasonjackson@crawford.com,564-533-5791,North Ryan,IL,Afghanistan,47
48,C048,Yolanda Russell,johnanderson@browning.com,(042)838-1615x42949,Hunterfurt,TX,Mauritius,48
49,C049,Meghan Patel MD,lfernandez@yahoo.com,(337)984-4203x1131,Johnmouth,UT,Grenada,49
50,C050,Barry Smith,richard72@yahoo.com,656.496.4041x5755,West Lisa,ID,Kazakhstan,50
