SalesRepID,Name,Email,Phone,Region
S001,Teresa Martinez,nguyenkimberly@kane.com,001-312-658-7431x043,Central
S002,Theodore Gordon,adam31@yahoo.com,958-379-4978,East
S003,Lisa Sloan,asmith@hotmail.com,221-140-2596,South
S004,Lisa Wilkinson,austin62@gmail.com,839-710-4109x93029,West
S005,Mrs. Emily Cole,uhardy@pena.com,+1-156-009-2700x217,South
S006,Samantha Finley,yolanda46@hotmail.com,027.056.6939,East
S007,Dylan Dixon,jbentley@gmail.com,001-603-362-7958,South
S008,Kelly Gutierrez,millerkevin@webster.com,121-330-7319x12953,East
S009,Sharon Hicks,tylerwyatt@yahoo.com,001-984-056-5545x98362,West
S010,Michael Williams,esparzacurtis@hotmail.com,(571)414-1285x205,West
