CustomerId,Billing Address,Shipping Address
1,"1 Elm St, City 30, USA","983 Main St, City 37, USA"
2,"1 Elm St, City 69, USA","952 Main St, City 85, USA"
3,"1 Elm St, City 87, USA","376 Main St, City 38, USA"
4,"10 Elm St, City 22, USA","784 Main St, City 41, USA"
5,"10 Elm St, City 42, USA","341 Main St, City 27, USA"
6,"101 Elm St, City 25, USA","889 Main St, City 63, USA"
7,"101 Elm St, City 4, USA","547 Main St, City 59, USA"
8,"102 Elm St, City 12, USA","593 Main St, City 23, USA"
9,"102 Elm St, City 4, USA","936 Main St, City 40, USA"
10,"102 Elm St, City 72, USA","208 Main St, City 45, USA"
11,"103 Elm St, City 87, USA","317 Main St, City 60, USA"
12,"104 Elm St, City 61, USA","208 Main St, City 74, USA"
13,"104 Elm St, City 79, USA","343 Main St, City 11, USA"
14,"105 Elm St, City 4, USA","7 Main St, City 85, USA"
15,"105 Elm St, City 42, USA","657 Main St, City 70, USA"
16,"105 Elm St, City 56, USA","784 Main St, City 13, USA"
17,"105 Elm St, City 97, USA","771 Main St, City 34, USA"
18,"106 Elm St, City 38, USA","53 Main St, City 46, USA"
19,"106 Elm St, City 79, USA","268 Main St, City 12, USA"
20,"107 Elm St, City 18, USA","780 Main St, City 8, USA"
21,"107 Elm St, City 29, USA","443 Main St, City 35, USA"
22,"107 Elm St, City 71, USA","200 Main St, City 31, USA"
23,"107 Elm St, City 98, USA","256 Main St, City 60, USA"
24,"108 Elm St, City 15, USA","872 Main St, City 5, USA"
25,"108 Elm St, City 30, USA","989 Main St, City 78, USA"
26,"108 Elm St, City 33, USA","753 Main St, City 41, USA"
27,"109 Elm St, City 13, USA","904 Main St, City 62, USA"
28,"109 Elm St, City 41, USA","848 Main St, City 87, USA"
29,"11 Elm St, City 50, USA","959 Main St, City 55, USA"
30,"110 Elm St, City 95, USA","108 Main St, City 49, USA"
31,"111 Elm St, City 22, USA","200 Main St, City 19, USA"
32,"111 Elm St, City 34, USA","170 Main St, City 74, USA"
33,"111 Elm St, City 7, USA","859 Main St, City 87, USA"
34,"112 Elm St, City 77, USA","775 Main St, City 96, USA"
35,"113 Elm St, City 47, USA","117 Main St, City 96, USA"
36,"113 Elm St, City 5, USA","583 Main St, City 38, USA"
37,"113 Elm St, City 98, USA","712 Main St, City 56, USA"
38,"114 Elm St, City 59, USA","609 Main St, City 28, USA"
39,"114 Elm St, City 72, USA","327 Main St, City 46, USA"
40,"115 Elm St, City 10, USA","36 Main St, City 35, USA"
41,"115 Elm St, City 59, USA","765 Main St, City 99, USA"
42,"115 Elm St, City 84, USA","664 Main St, City 3, USA"
43,"116 Elm St, City 45, USA","83 Main St, City 25, USA"
44,"117 Elm St, City 47, USA","75 Main St, City 82, USA"
45,"118 Elm St, City 27, USA","23 Main St, City 81, USA"
46,"118 Elm St, City 46, USA","510 Main St, City 30, USA"
47,"118 Elm St, City 46, USA","629 Main St, City 21, USA"
48,"118 Elm St, City 61, USA","790 Main St, City 49, USA"
49,"118 Elm St, City 68, USA","810 Main St, City 52, USA"
50,"119 Elm St, City 30, USA","806 Main St, City 9, USA"
51,"119 Elm St, City 80, USA","848 Main St, City 98, USA"
52,"119 Elm St, City 85, USA","81 Main St, City 78, USA"
53,"119 Elm St, City 86, USA","498 Main St, City 32, USA"
54,"120 Elm St, City 37, USA","971 Main St, City 41, USA"
55,"120 Elm St, City 58, USA","730 Main St, City 58, USA"
56,"121 Elm St, City 45, USA","535 Main St, City 84, USA"
57,"121 Elm St, City 60, USA","797 Main St, City 16, USA"
58,"122 Elm St, City 38, USA","348 Main St, City 31, USA"
59,"122 Elm St, City 4, USA","326 Main St, City 53, USA"
60,"122 Elm St, City 63, USA","47 Main St, City 56, USA"
61,"125 Elm St, City 42, USA","148 Main St, City 97, USA"
62,"125 Elm St, City 48, USA","837 Main St, City 32, USA"
63,"125 Elm St, City 81, USA","628 Main St, City 58, USA"
64,"126 Elm St, City 38, USA","894 Main St, City 24, USA"
65,"126 Elm St, City 4, USA","749 Main St, City 5, USA"
66,"126 Elm St, City 69, USA","850 Main St, City 86, USA"
67,"126 Elm St, City 76, USA","798 Main St, City 57, USA"
68,"126 Elm St, City 85, USA","262 Main St, City 14, USA"
69,"126 Elm St, City 93, USA","933 Main St, City 58, USA"
70,"127 Elm St, City 73, USA","943 Main St, City 32, USA"
71,"128 Elm St, City 17, USA","347 Main St, City 18, USA"
72,"128 Elm St, City 39, USA","55 Main St, City 47, USA"
73,"128 Elm St, City 4, USA","184 Main St, City 72, USA"
74,"128 Elm St, City 40, USA","867 Main St, City 3, USA"
75,"128 Elm St, City 72, USA","68 Main St, City 29, USA"
76,"129 Elm St, City 25, USA","840 Main St, City 66, USA"
77,"129 Elm St, City 26, USA","283 Main St, City 40, USA"
78,"129 Elm St, City 78, USA","170 Main St, City 3, USA"
79,"129 Elm St, City 97, USA","86 Main St, City 98, USA"
80,"13 Elm St, City 20, USA","238 Main St, City 58, USA"
81,"130 Elm St, City 1, USA","917 Main St, City 7, USA"
82,"130 Elm St, City 15, USA","917 Main St, City 31, USA"
83,"130 Elm St, City 21, USA","265 Main St, City 43, USA"
84,"130 Elm St, City 67, USA","517 Main St, City 42, USA"
85,"130 Elm St, City 95, USA","418 Main St, City 58, USA"
86,"131 Elm St, City 12, USA","339 Main St, City 52, USA"
87,"132 Elm St, City 81, USA","123 Main St, City 66, USA"
88,"133 Elm St, City 33, USA","321 Main St, City 98, USA"
89,"133 Elm St, City 67, USA","754 Main St, City 91, USA"
90,"136 Elm St, City 21, USA","594 Main St, City 16, USA"
91,"136 Elm St, City 54, USA","122 Main St, City 64, USA"
92,"136 Elm St, City 6, USA","395 Main St, City 34, USA"
93,"137 Elm St, City 15, USA","72 Main St, City 74, USA"
94,"137 Elm St, City 27, USA","713 Main St, City 52, USA"
95,"137 Elm St, City 8, USA","851 Main St, City 16, USA"
96,"137 Elm St, City 8, USA","9 Main St, City 52, USA"
97,"138 Elm St, City 35, USA","863 Main St, City 73, USA"
98,"138 Elm St, City 8, USA","419 Main St, City 50, USA"
99,"138 Elm St, City 84, USA","946 Main St, City 60, USA"
100,"139 Elm St, City 65, USA","87 Main St, City 66, USA"
101,"139 Elm St, City 67, USA","229 Main St, City 84, USA"
102,"139 Elm St, City 74, USA","435 Main St, City 11, USA"
103,"139 Elm St, City 97, USA","543 Main St, City 30, USA"
104,"14 Elm St, City 71, USA","853 Main St, City 46, USA"
105,"140 Elm St, City 12, USA","102 Main St, City 64, USA"
106,"143 Elm St, City 48, USA","103 Main St, City 62, USA"
107,"143 Elm St, City 82, USA","959 Main St, City 5, USA"
108,"144 Elm St, City 14, USA","291 Main St, City 12, USA"
109,"144 Elm St, City 7, USA","598 Main St, City 35, USA"
110,"144 Elm St, City 76, USA","317 Main St, City 58, USA"
111,"145 Elm St, City 33, USA","784 Main St, City 85, USA"
112,"145 Elm St, City 50, USA","488 Main St, City 59, USA"
113,"146 Elm St, City 11, USA","847 Main St, City 37, USA"
114,"146 Elm St, City 60, USA","653 Main St, City 13, USA"
115,"146 Elm St, City 86, USA","843 Main St, City 20, USA"
116,"147 Elm St, City 23, USA","507 Main St, City 53, USA"
117,"147 Elm St, City 24, USA","851 Main St, City 62, USA"
118,"147 Elm St, City 67, USA","554 Main St, City 72, USA"
119,"147 Elm St, City 77, USA","731 Main St, City 41, USA"
120,"147 Elm St, City 80, USA","469 Main St, City 68, USA"
121,"148 Elm St, City 75, USA","883 Main St, City 75, USA"
