Website,Order ID,Order Date,Purchase Order Number,Currency,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal,Shipment Item Subtotal Tax,ASIN,Product Condition,Quantity,Payment Instrument Type,Order Status,Shipment Status,Ship Date,Shipping Option,Shipping Address,Billing Address,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details,Item Serial Number,Salesperson ID
Best Buy,ORD324131,2024-03-28,PO92407,GBP,261.95,31.2,7.31,44.65,2485.0,2619.5,312.0,B0897262,New,10,PayPal,Shipped,Pending,2025-03-12,Same-Day,"653 Main St, City 67, USA","435 Elm St, City 90, USA",UPS - TRK512059,Product-189,Enjoy your gift!,Alice,John Doe,SN796761,SP-2632
eBay,ORD327912,2025-01-16,PO30525,GBP,439.6,25.69,22.76,93.47,3346.38,3956.4,231.21,B0228036,Used - Acceptable,9,Credit Card,Pending,In Transit,2025-03-11,Expedited,"353 Main St, City 4, USA","564 Elm St, City 97, USA",UPS - TRK285095,Product-352,Happy Birthday!,Bob,,SN180341,SP-8170
eBay,ORD261047,2024-08-11,PO16402,USD,66.93,10.98,15.72,11.57,132.68,133.86,21.96,B0636330,New,2,Debit Card,Pending,Delivered,2025-03-06,Expedited,"202 Main St, City 27, USA","379 Elm St, City 99, USA",FedEx - TRK790730,Product-288,Happy Birthday!,Bob,,SN149144,SP-6220
Amazon.com,ORD768449,2024-11-15,PO12679,USD,214.48,27.89,32.3,18.52,895.4,857.92,111.56,B0694895,Used - Acceptable,4,Credit Card,Shipped,Delivered,2025-02-20,Standard,"766 Main St, City 79, USA","427 Elm St, City 84, USA",USPS - TRK376275,Product-154,Enjoy your gift!,,John Doe,SN207534,SP-4891
Target,ORD738344,2024-05-21,PO64418,AUD,148.65,28.17,42.96,27.77,894.3,891.9,169.02,B0369663,Used - Acceptable,6,Debit Card,Cancelled,In Transit,2025-03-14,Two-Day,"290 Main St, City 59, USA","707 Elm St, City 85, USA",DHL - TRK296976,Product-385,Happy Birthday!,Charlie,John Doe,SN957794,SP-7155
eBay,ORD349061,2024-12-18,PO96283,GBP,424.58,61.08,44.76,120.86,3648.0,4245.8,610.8,B0736629,Refurbished,10,Credit Card,Pending,Pending,2025-02-26,Two-Day,"256 Main St, City 83, USA","682 Elm St, City 88, USA",Amazon Logistics - TRK538891,Product-212,,Alice,,SN740468,SP-4910
Walmart,ORD993662,2024-11-27,PO49394,USD,44.24,8.7,22.33,7.48,181.84,176.96,34.8,B0180426,Used - Acceptable,4,PayPal,Pending,In Transit,2025-02-22,Standard,"770 Main St, City 93, USA","343 Elm St, City 98, USA",DHL - TRK777643,Product-489,,Charlie,,SN724201,SP-4225
Amazon.com,ORD746091,2024-04-15,PO91199,INR,490.95,75.92,13.01,47.01,2599.3,2454.75,379.6,B0689104,New,5,Gift Card,Pending,Returned,2025-03-10,Same-Day,"979 Main St, City 47, USA","711 Elm St, City 87, USA",FedEx - TRK639263,Product-354,Happy Birthday!,,,SN192174,SP-5404
eBay,ORD894591,2024-12-01,PO97848,GBP,219.34,39.41,12.06,31.42,2045.97,1974.06,354.69,B0969249,Used - Like New,9,Gift Card,Pending,In Transit,2025-02-23,Two-Day,"297 Main St, City 86, USA","453 Elm St, City 35, USA",DHL - TRK740208,Product-468,Enjoy your gift!,Alice,Emma Smith,SN615856,SP-6416
Walmart,ORD571237,2024-11-06,PO42634,AUD,396.45,70.56,9.98,95.55,3343.14,3568.05,635.04,B0427957,Used - Acceptable,9,PayPal,Pending,Returned,2025-03-03,Standard,"119 Main St, City 20, USA","835 Elm St, City 6, USA",Amazon Logistics - TRK578564,Product-345,,Charlie,John Doe,SN424303,SP-6307
Walmart,ORD465387,2024-03-31,PO61817,GBP,25.52,1.29,45.54,1.37,254.4,255.2,12.9,B0333894,New,10,Credit Card,Delivered,Pending,2025-03-18,Expedited,"320 Main St, City 62, USA","507 Elm St, City 98, USA",Amazon Logistics - TRK501655,Product-323,Happy Birthday!,,,SN730431,SP-1204
Target,ORD718803,2024-11-17,PO46727,AUD,7.98,1.35,46.95,0.63,87.0,79.8,13.5,B0365906,Used - Acceptable,10,Debit Card,Pending,Returned,2025-03-05,Standard,"658 Main St, City 91, USA","993 Elm St, City 61, USA",Amazon Logistics - TRK829193,Product-129,Enjoy your gift!,Charlie,Emma Smith,SN240453,SP-2042
Target,ORD571280,2024-04-24,PO84437,AUD,363.74,39.99,42.84,105.18,2686.95,3273.66,359.91,B0134483,Used - Acceptable,9,Debit Card,Shipped,Returned,2025-03-22,Same-Day,"663 Main St, City 45, USA","654 Elm St, City 8, USA",UPS - TRK858846,Product-160,,Charlie,Emma Smith,SN347946,SP-9335
Amazon.com,ORD109602,2025-01-09,PO35571,USD,17.75,2.06,28.24,1.77,72.16,71.0,8.24,B0419495,Used - Like New,4,Debit Card,Delivered,In Transit,2025-03-12,Standard,"881 Main St, City 93, USA","644 Elm St, City 21, USA",UPS - TRK934731,Product-172,Happy Birthday!,Charlie,John Doe,SN387412,SP-5400
eBay,ORD854897,2025-01-16,PO77695,EUR,407.67,60.61,24.03,66.27,1608.04,1630.68,242.44,B0399971,Used - Acceptable,4,Debit Card,Shipped,Returned,2025-02-25,Expedited,"200 Main St, City 98, USA","432 Elm St, City 38, USA",Amazon Logistics - TRK692029,Product-485,Enjoy your gift!,Bob,John Doe,SN718104,SP-4507
Walmart,ORD275922,2024-05-07,PO74496,USD,366.91,62.27,35.23,9.66,2517.12,2201.46,373.62,B0274082,Used - Like New,6,Credit Card,Shipped,Pending,2025-03-15,Two-Day,"607 Main St, City 13, USA","749 Elm St, City 88, USA",Amazon Logistics - TRK847882,Product-395,Enjoy your gift!,Bob,Emma Smith,SN754822,SP-3637
Amazon.com,ORD402532,2024-09-30,PO74061,USD,459.24,33.55,28.94,33.91,4588.8,4592.4,335.5,B0836507,Used - Acceptable,10,PayPal,Shipped,Delivered,2025-02-26,Standard,"886 Main St, City 50, USA","282 Elm St, City 78, USA",FedEx - TRK543162,Product-499,Happy Birthday!,Alice,John Doe,SN618415,SP-9650
Best Buy,ORD844321,2024-04-28,PO73468,INR,495.84,50.79,49.65,142.63,2424.0,2975.04,304.74,B0533258,New,6,PayPal,Shipped,Delivered,2025-03-04,Expedited,"937 Main St, City 99, USA","976 Elm St, City 50, USA",UPS - TRK657409,Product-156,Enjoy your gift!,Charlie,Emma Smith,SN835425,SP-7542
Best Buy,ORD107278,2024-11-27,PO44308,USD,438.79,46.46,28.28,37.67,4028.22,3949.11,418.14,B0852634,New,9,PayPal,Delivered,In Transit,2025-02-20,Two-Day,"699 Main St, City 52, USA","633 Elm St, City 27, USA",FedEx - TRK611715,Product-54,Happy Birthday!,Charlie,,SN174862,SP-2193
