Website,Order ID,Order Date,Purchase Order Number,Currency,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal,Shipment Item Subtotal Tax,ASIN,Product Condition,Quantity,Payment Instrument Type,Order Status,Shipment Status,Ship Date,Shipping Option,Shipping Address,Billing Address,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details,Item Serial Number
eBay,367f10d1,2023-04-19,480d8cc8-99e,EUR,123.71,46.61,13.74,29.31,412.33,38.18,43.48,3212ea10-0,Used - Like New,1,Gift Card,Shipped,Pending,2023-04-20,Two-Day,"321 Maple Rd, FL","321 Maple Rd, FL",USPS-5a91c57e-b6b,Wireless Headphones,Congratulations!,Emma,jane@example.com,fdaa6a54-641c-4
Walmart,62a0f1c3,2023-07-23,ff37e316-277,USD,258.75,19.34,12.86,13.11,108.76,174.27,33.97,0f7dfd4a-8,Used - Good,2,Bank Transfer,Delivered,Out for Delivery,,Standard,"123 Main St, NY","654 Birch Ln, WA",UPS-56277648-744,Smartphone Case,Best Wishes!,John,anna@example.com,61c7bbd2-8c66-4
Walmart,9bd402d0,2024-06-28,f7a3b8b5-b62,AUD,212.39,9.52,14.95,3.71,74.88,419.5,31.13,dbda5e34-3,Used - Like New,4,Bank Transfer,Shipped,Delivered,2024-07-02,Expedited,"123 Main St, NY","456 Oak St, CA",UPS-1586f976-e7d,Smartphone Case,,David,mark@example.com,f61af97e-2809-4
BestBuy,87ac01a0,2022-04-29,67c77e16-21e,CAD,338.06,15.03,18.0,22.68,152.79,158.51,37.34,58c8d18f-f,Used - Good,3,Gift Card,Returned,In Transit,,Expedited,"321 Maple Rd, FL","789 Pine Ave, TX",UPS-62bb6493-052,Mechanical Keyboard,Congratulations!,Michael,,c3545419-6ff4-4
BestBuy,c562c773,2023-08-15,88423238-d91,AUD,117.28,19.03,12.07,15.72,55.85,349.05,35.9,169c00d2-4,Refurbished,4,Credit Card,Returned,In Transit,2023-08-25,Same-Day,"789 Pine Ave, TX","456 Oak St, CA",Amazon Logistics-9a412205-f7a,USB-C Charger,Congratulations!,,anna@example.com,a66d0c11-2064-4
Target,57cb8d06,2022-09-05,22563f35-462,EUR,394.62,8.86,6.54,28.37,491.31,101.13,38.09,c2d08b9c-0,Refurbished,5,Credit Card,Shipped,In Transit,2022-09-06,Same-Day,"321 Maple Rd, FL","789 Pine Ave, TX",FedEx-79fd3b27-76f,Wireless Headphones,Enjoy your gift!,Sarah,mark@example.com,fb47e1d2-8d1d-4
BestBuy,7841a4c5,2024-10-08,02d069be-d4b,AUD,35.26,22.3,9.27,3.99,228.53,58.01,22.12,450803a6-1,Used - Like New,4,PayPal,Cancelled,Pending,2024-10-17,Standard,"123 Main St, NY","654 Birch Ln, WA",FedEx-a8d8169a-2ef,Wireless Headphones,Best Wishes!,,,2d955552-54f2-4
Walmart,9383e677,2024-03-03,9bf65903-2dc,GBP,46.5,23.61,0.95,23.74,413.85,483.03,46.05,d3576955-7,Used - Like New,5,PayPal,Returned,In Transit,2024-03-05,Standard,"123 Main St, NY","456 Oak St, CA",USPS-e6c6768e-e95,Smartphone Case,,Sarah,anna@example.com,86deef1e-5f0d-4
BestBuy,6ab7ed8e,2023-11-22,888969e4-7ac,USD,68.57,40.84,7.15,19.0,362.7,444.11,42.55,e38b7059-d,Refurbished,4,Credit Card,Delivered,Out for Delivery,2023-12-02,Expedited,"321 Maple Rd, FL","789 Pine Ave, TX",USPS-201bbcc5-1ed,USB-C Charger,Happy Birthday!,David,,080f9fd7-4062-4
eBay,759d32ae,2023-02-26,da2e1d81-d6f,EUR,44.96,6.56,17.05,2.56,69.67,313.36,16.95,c5e41856-3,New,3,PayPal,Returned,In Transit,2023-02-27,Same-Day,"789 Pine Ave, TX","321 Maple Rd, FL",Amazon Logistics-59b5246b-ba3,Mechanical Keyboard,Happy Birthday!,John,anna@example.com,652acc4c-7aa4-4
eBay,7972afa5,2023-02-11,b8408a77-b07,CAD,231.92,36.31,0.7,29.74,507.4,42.89,28.73,409d6aca-a,Used - Like New,4,PayPal,Pending,Delivered,2023-02-21,Standard,"123 Main St, NY","456 Oak St, CA",USPS-9ca14d4f-3a3,Smartphone Case,Congratulations!,Michael,mark@example.com,b922cabe-187b-4
eBay,b2fcf75e,2024-04-17,e4866d71-d90,EUR,154.68,35.27,11.76,23.14,241.29,205.23,16.53,7b390adc-2,Used - Like New,5,Gift Card,Returned,Delivered,2024-04-25,Same-Day,"789 Pine Ave, TX","321 Maple Rd, FL",UPS-9a8853dd-c6e,Smartphone Case,,Michael,mark@example.com,65034d15-365e-4
