Website,Order ID,Order Date,Purchase Order Number,Currency,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal,Shipment Item Subtotal Tax,ASIN,Product Condition,Quantity,Payment Instrument Type,Order Status,Shipment Status,Ship Date,Shipping Option,Shipping Address,Billing Address,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details,Item Serial Number
Amazon,ORD196440,07-02-2025,PO91148,GBP,531.69,80.71,21.31,277.86,1950.92,2126.76,154.56,B07905754,Used - Acceptable,4,Credit Card,Processing,Pending,27-08-2025,Standard,"240 Main St, City 30, USA","158 Elm St, City 44, USA",UPS - TRK751077,Product-318,Congratulations!,Charlie,Emma Smith,SN578924
eBay,ORD413719,21-12-2025,PO41737,GBP,814.15,49.54,12.94,1591.05,14754.43,16283.0,873.1,B05695908,Used - Acceptable,20,Debit Card,Pending,Pending,10-06-2025,Same-Day,"37 Main St, City 25, USA","956 Elm St, City 30, USA",DHL - TRK731274,Product-219,,David,John Doe,SN406882
eBay,ORD841583,25-06-2025,PO32391,USD,794.03,145.19,34.7,119.16,854.76,794.03,70.13,B07135704,Used - Good,1,Credit Card,Pending,In Transit,24-06-2025,Standard,"313 Main St, City 80, USA","224 Elm St, City 90, USA",DHL - TRK605488,Product-407,Congratulations!,David,John Doe,SN201103
eBay,ORD175179,10-07-2025,PO30713,GBP,647.5,50.94,20.97,318.62,3638.29,3885.0,773.93,B09784558,Used - Acceptable,6,Credit Card,Pending,Delivered,08-06-2025,Expedited,"652 Main St, City 58, USA","425 Elm St, City 51, USA",DHL - TRK236006,Product-450,Congratulations!,Charlie,Michael Brown,SN747603
Amazon,ORD281006,18-08-2025,PO88746,EUR,743.78,108.23,18.12,1804.65,10965.96,12644.26,776.28,B09899840,Used - Good,17,Credit Card,Shipped,Delivered,04-11-2025,Same-Day,"181 Main St, City 13, USA","552 Elm St, City 34, USA",DHL - TRK779211,Product-964,Congratulations!,Bob,John Doe,SN662880
eBay,ORD974613,20-03-2025,PO88247,EUR,213.3,21.95,44.68,45.22,4074.11,4052.7,355.4,B02326346,New,19,PayPal,Processing,Pending,09-10-2025,Same-Day,"907 Main St, City 64, USA","872 Elm St, City 16, USA",FedEx - TRK934955,Product-764,Best Wishes!,,,SN712696
eBay,ORD647014,05-08-2025,PO28107,GBP,322.2,33.22,23.06,247.16,6253.12,6444.0,637.23,B03085278,Used - Good,20,PayPal,Processing,Pending,27-07-2025,Standard,"619 Main St, City 74, USA","219 Elm St, City 53, USA",UPS - TRK260960,Product-524,Congratulations!,Alice,,SN936639
eBay,ORD603833,25-11-2025,PO93828,EUR,514.89,52.4,36.96,86.66,5666.49,5663.79,463.31,B05038898,Used - Good,11,PayPal,Processing,Delivered,05-11-2025,Standard,"546 Main St, City 35, USA","726 Elm St, City 54, USA",DHL - TRK213558,Product-631,,Bob,John Doe,SN468479
Best Buy,ORD303315,19-11-2025,PO13854,GBP,454.09,45.42,26.87,443.12,2353.71,2724.54,460.9,B03595115,Used - Good,6,Debit Card,Shipped,Delivered,17-08-2025,Expedited,"949 Main St, City 64, USA","831 Elm St, City 36, USA",UPS - TRK603295,Product-617,Enjoy your gift!,Charlie,Emma Smith,SN166546
Best Buy,ORD236693,14-02-2025,PO51379,USD,336.77,49.65,5.83,68.47,3354.71,3367.7,200.98,B05871242,New,10,PayPal,Shipped,Delivered,08-03-2025,Same-Day,"856 Main St, City 53, USA","957 Elm St, City 14, USA",UPS - TRK101858,Product-207,Happy Birthday!,Alice,Michael Brown,SN549165
