CustomerID,CustomerName,CustomerCategoryName,PrimaryContact,AlternateContact,PhoneNumber,FaxNumber,BuyingGroupName,WebsiteURL,DeliveryMethod,CityName,DeliveryLocation,DeliveryRun,RunPosition
2,"Tailspin Toys (Sylvanite, MT)",Novelty Shop,Lorena Cindric,Hung Van Groesen,(406) 555-0100,(406) 555-0101,Tailspin Toys,http://www.tailspintoys.com/Sylvanite,Delivery Van,Sylvanite,0xE6100000010CF37A8BE2B05B4840056FA35CF5F75CC0,,
1,Tailspin Toys (Head Office),Novelty Shop,Waldemar Fisar,Laimonis Berzins,(308) 555-0100,(308) 555-0101,Tailspin Toys,http://www.tailspintoys.com,Delivery Van,Lisco,0xE6100000010CE73F5A52A4BF444010638852B1A759C0,,
4,"Tailspin Toys (Medicine Lodge, KS)",Novelty Shop,Daniel Roman,Leyla Radnia,(316) 555-0100,(316) 555-0101,Tailspin Toys,http://www.tailspintoys.com/MedicineLodge,Delivery Van,Medicine Lodge,0xE6100000010C02261532FCA34240EDB776A224A558C0,,
3,"Tailspin Toys (Peeples Valley, AZ)",Novelty Shop,Bhaargav Rambhatla,Mudar Jevtic,(480) 555-0100,(480) 555-0101,Tailspin Toys,http://www.tailspintoys.com/PeeplesValley,Delivery Van,Peeples Valley,0xE6100000010CC97553CA6B2241404FACF82B892E5CC0,,
7,"Tailspin Toys (Frankewing, TN)",Novelty Shop,Kalidas Nadar,Filip Nedvidek,(423) 555-0100,(423) 555-0101,Tailspin Toys,http://www.tailspintoys.com/Frankewing,Delivery Van,Frankewing,0xE6100000010C8DEE2076A6984140C8EBC1A478B655C0,,
5,"Tailspin Toys (Gasport, NY)",Novelty Shop,Johanna Huiting,Robert Ruutli,(212) 555-0100,(212) 555-0101,Tailspin Toys,http://www.tailspintoys.com/Gasport,Delivery Van,Gasport,0xE6100000010C5948652F80994540F93BCA77DFA453C0,,
6,"Tailspin Toys (Jessie, ND)",Novelty Shop,Biswajeet Thakur,Radha Shah,(701) 555-0100,(701) 555-0101,Tailspin Toys,http://www.tailspintoys.com/Jessie,Delivery Van,Jessie,0xE6100000010CB9A6406667C54740BD7E77E13D8F58C0,,
9,"Tailspin Toys (Netcong, NJ)",Novelty Shop,Sointu Aalto,Jae-Gon Min,(201) 555-0100,(201) 555-0101,Tailspin Toys,http://www.tailspintoys.com/Netcong,Delivery Van,Netcong,0xE6100000010CCD80690712734440EFBB332438AD52C0,,
10,"Tailspin Toys (Wimbledon, ND)",Novelty Shop,Siddhartha Parkar,Paula Matos,(701) 555-0100,(701) 555-0101,Tailspin Toys,http://www.tailspintoys.com/Wimbledon,Delivery Van,Wimbledon,0xE6100000010CEF14BC32B9954740CEE737A76D9D58C0,,
11,"Tailspin Toys (Devault, PA)",Novelty Shop,Elnaz Javan,Jayashish Ghatak,(215) 555-0100,(215) 555-0101,Tailspin Toys,http://www.tailspintoys.com/Devault,Delivery Van,Devault,0xE6100000010C18343EDD8A094440681888AF40E252C0,,
8,"Tailspin Toys (Bow Mar, CO)",Novelty Shop,Kanti Kotadia,Hoa Cu,(303) 555-0100,(303) 555-0101,Tailspin Toys,http://www.tailspintoys.com/BowMar,Delivery Van,Bow Mar,0xE6100000010CEC3191D26CD043407BB482F032435AC0,,
12,"Tailspin Toys (Biscay, MN)",Novelty Shop,Heloisa Fernandes,Amornrat Rattanaporn,(218) 555-0100,(218) 555-0101,Tailspin Toys,http://www.tailspintoys.com/Biscay,Delivery Van,Biscay,0xE6100000010C4D158C4AEA69464040232246999157C0,,
13,"Tailspin Toys (Stonefort, IL)",Novelty Shop,Razeena Hosseini,Leticia Ribeiro,(217) 555-0100,(217) 555-0101,Tailspin Toys,http://www.tailspintoys.com/Stonefort,Delivery Van,Stonefort,0xE6100000010CF01472A59ECE4240355772BA512D56C0,,
14,"Tailspin Toys (Long Meadow, MD)",Novelty Shop,Tereza Valentova,Brijesh Ganguly,(240) 555-0100,(240) 555-0101,Tailspin Toys,http://www.tailspintoys.com/LongMeadow,Delivery Van,Long Meadow,0xE6100000010C9367A89BD5D7434049ADE6EF946D53C0,,
15,"Tailspin Toys (Batson, TX)",Novelty Shop,Filips Jaunzems,Bharati Bhowmick,(210) 555-0100,(210) 555-0101,Tailspin Toys,http://www.tailspintoys.com/Batson,Delivery Van,Batson,0xE6100000010C68E2C226D73F3E406C62DC68DBA657C0,,
